No.,Time,Source,Destination,Protocol,Length,Info
11907,120.946019,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8023898 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11908,120.946019,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8025338 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11909,120.946102,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8028218 Win=4162 Len=0
11910,120.946249,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8028218 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11911,120.946334,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8029658 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11912,120.946358,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8031098 Win=4162 Len=0
11913,120.946535,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8031098 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11914,120.946696,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8032538 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11915,120.946696,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8033978 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11916,120.946748,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8035418 Win=4162 Len=0
11917,120.946869,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8035418 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11918,120.946893,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8036858 Win=4162 Len=0
11919,120.946936,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8036858 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11920,120.94712,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8038298 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11921,120.947142,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8039738 Win=4162 Len=0
11922,120.947237,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8039738 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11923,120.947361,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8041178 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11924,120.947382,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8042618 Win=4162 Len=0
11925,120.947499,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8042618 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11926,120.94763,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8044058 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11927,120.947651,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8045498 Win=4162 Len=0
11928,120.948097,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8045498 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11929,120.94817,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8046938 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11930,120.948195,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8048378 Win=4162 Len=0
11931,120.948328,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8048378 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11932,120.94846,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8049818 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11933,120.948484,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8051258 Win=4162 Len=0
11934,120.948568,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=8052698 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11935,120.948584,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11933#1] 62984  >  443 [ACK] Seq=7701 Ack=8051258 Win=4162 Len=0 SLE=8052698 SRE=8054138
11936,120.948699,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8051258 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11937,120.948716,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8054138 Win=4162 Len=0
11938,120.94883,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8054138 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11939,120.948966,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8055578 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11940,120.948981,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8057018 Win=4162 Len=0
11941,120.949086,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8057018 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11942,120.94924,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=8059898 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11943,120.949257,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=8058458 Win=4162 Len=0 SLE=8059898 SRE=8061338
11944,120.949371,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8058458 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11945,120.949384,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8061338 Win=4162 Len=0
11946,120.949471,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8061338 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11947,120.949485,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8062778 Win=4162 Len=0
11948,120.950046,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8062778 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11949,120.950197,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8064218 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11950,120.950212,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8065658 Win=4162 Len=0
11951,120.950274,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8065658 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11952,120.950407,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8067098 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11953,120.95043,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8068538 Win=4162 Len=0
11954,120.950851,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8068538 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11955,120.950984,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8069978 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11956,120.950999,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8071418 Win=4162 Len=0
11957,120.951057,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8071418 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11958,120.951177,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8072858 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11959,120.951189,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8074298 Win=4162 Len=0
11960,120.951518,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8074298 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11961,120.951707,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8075738 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11962,120.951717,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8077178 Win=4162 Len=0
11963,120.951907,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8077178 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11964,120.95201,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=8080058 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11965,120.952027,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=8078618 Win=4162 Len=0 SLE=8080058 SRE=8081498
11966,120.952141,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8078618 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11967,120.952165,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8081498 Win=4162 Len=0
11968,120.952599,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8081498 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11969,120.952619,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8082938 Win=4162 Len=0
11970,120.952688,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8082938 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11971,120.952815,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=8084378 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11972,120.952823,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8085818 Win=4162 Len=0
11973,120.952957,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=8085818 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11974,120.95372,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=8088698 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11975,120.953743,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=8087258 Win=4162 Len=0 SLE=8088698 SRE=8090138
11976,120.95384,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8087258 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11977,120.953854,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=8090138 Win=4162 Len=0
11978,120.953977,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=8091578 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11979,120.953989,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11977#1] 62984  >  443 [ACK] Seq=7701 Ack=8090138 Win=4162 Len=0 SLE=8091578 SRE=8093018
11980,120.954238,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8090138 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
