No.,Time,Source,Destination,Protocol,Length,URLs
18535,201.53875,10.200.52.16,18.64.141.129,TCP,54,[]
2951,30.585919,18.64.141.129,10.200.52.16,TCP,1494,[]
6024,51.085474,18.64.141.129,10.200.52.16,TCP,1494,[]
1394,10.791774,10.200.52.16,18.64.141.129,TCP,54,[]
5567,50.851272,10.200.52.16,18.64.141.129,TCP,54,[]
17281,181.253363,10.200.52.16,18.64.141.129,TCP,66,[]
7915,70.987027,10.200.52.16,18.64.141.129,TCP,54,[]
13509,140.753886,18.64.141.129,10.200.52.16,TCP,1494,[]
9253,90.820375,10.200.52.16,18.64.141.129,TCP,54,[]
3015,30.591318,18.64.141.129,10.200.52.16,TCP,1494,[]
8055,71.026464,18.64.141.129,10.200.52.16,TCP,1494,[]
16976,181.171432,18.64.141.129,10.200.52.16,TCP,1494,[]
14541,150.9328,18.64.141.129,10.200.52.16,TCP,1494,[]
15504,160.955913,10.200.52.16,18.64.141.129,TCP,66,[]
16900,181.16031,18.64.141.129,10.200.52.16,TCP,1494,[]
17180,181.223282,18.64.141.129,10.200.52.16,TCP,1494,[]
7145,60.903833,18.64.141.129,10.200.52.16,TCP,1494,[]
12837,131.228898,10.200.52.16,18.64.141.129,TCP,66,[]
13620,140.770725,18.64.141.129,10.200.52.16,TCP,1494,[]
17287,181.279831,18.64.141.129,10.200.52.16,TCP,1494,[]
1768,20.304106,10.200.52.16,18.64.141.129,TCP,54,[]
5663,50.899817,18.64.141.129,10.200.52.16,TCP,1494,[]
8405,81.022025,10.200.52.16,18.64.141.129,TCP,54,[]
17530,190.863269,10.200.52.16,18.64.141.129,TCP,74,[]
12024,120.959004,18.64.141.129,10.200.52.16,TCP,1494,[]
15275,160.804075,10.200.52.16,18.64.141.129,TCP,54,[]
16478,174.097413,10.200.52.16,172.217.19.202,UDP,1292,[]
4345,41.558545,18.64.141.129,10.200.52.16,TCP,1494,[]
10405,101.23897,10.200.52.16,18.64.141.129,TCP,66,[]
17988,191.984687,10.200.52.16,18.64.141.129,TCP,54,[]
11450,114.592149,10.200.52.16,172.217.21.37,TLSv1.2,89,[]
6661,60.298667,18.64.141.129,10.200.52.16,TCP,60,[]
11849,120.815837,18.64.141.129,10.200.52.16,TCP,1494,[]
11415,112.558972,172.217.19.202,10.200.52.16,UDP,64,[]
1003,10.481844,18.64.141.129,10.200.52.16,TCP,1494,[]
9011,90.494623,18.64.141.129,10.200.52.16,TCP,1494,[]
14729,150.953283,10.200.52.16,18.64.141.129,TCP,90,[]
15555,160.961396,10.200.52.16,18.64.141.129,TCP,54,[]
17876,191.715287,18.64.141.129,10.200.52.16,TCP,1494,[]
16012,170.735489,18.64.141.129,10.200.52.16,TCP,1494,[]
8488,81.044606,18.64.141.129,10.200.52.16,TCP,1494,[]
10260,101.188351,10.200.52.16,18.64.141.129,TCP,66,[]
16731,181.015178,18.64.141.129,10.200.52.16,TCP,1494,[]
11215,110.944112,18.64.141.129,10.200.52.16,TCP,1494,[]
2147,20.910833,10.200.52.16,18.64.141.129,TCP,54,[]
9479,90.975921,18.64.141.129,10.200.52.16,TCP,1494,[]
2663,21.498972,172.217.17.46,10.200.52.16,UDP,76,[]
19506,211.163734,18.64.141.129,10.200.52.16,TCP,1494,[]
7874,70.976455,18.64.141.129,10.200.52.16,TCP,1494,[]
3195,30.749483,10.200.52.16,18.64.141.129,TCP,54,[]
12060,120.962606,10.200.52.16,18.64.141.129,TCP,54,[]
2954,30.586077,18.64.141.129,10.200.52.16,TCP,1494,[]
17875,191.715287,18.64.141.129,10.200.52.16,TCP,1494,[]
6021,51.083521,18.64.141.129,10.200.52.16,TCP,1494,[]
19531,211.178352,10.200.52.16,18.64.141.129,TCP,90,[]
8196,76.71241,172.217.17.46,10.200.52.16,UDP,279,[]
16748,181.017226,18.64.141.129,10.200.52.16,TCP,1494,[]
16686,181.010526,18.64.141.129,10.200.52.16,TCP,1494,[]
16636,180.978381,10.200.52.16,18.64.141.129,TCP,66,[]
3796,37.649197,10.200.52.16,104.225.98.129,TCP,66,[]
14402,150.884076,18.64.141.129,10.200.52.16,TCP,1366,[]
1281,10.783656,18.64.141.129,10.200.52.16,TCP,1494,[]
5684,50.909512,10.200.52.16,18.64.141.129,TCP,66,[]
16081,170.743571,10.200.52.16,18.64.141.129,TCP,66,[]
14933,155.382772,172.217.19.202,10.200.52.16,UDP,119,[]
18955,210.712206,18.64.141.129,10.200.52.16,TCP,1494,[]
10092,101.142458,10.200.52.16,18.64.141.129,TCP,66,[]
20325,221.083938,18.64.141.129,10.200.52.16,TCP,1494,[]
19809,220.689282,18.64.141.129,10.200.52.16,TCP,1494,[]
11193,110.942569,18.64.141.129,10.200.52.16,TCP,1494,[]
14863,151.068335,10.200.52.16,18.64.141.129,TCP,54,[]
223,0.55441,18.64.141.129,10.200.52.16,TCP,1494,[]
3546,31.060873,18.64.141.129,10.200.52.16,TCP,1494,[]
9273,90.824055,18.64.141.129,10.200.52.16,TCP,1494,[]
2443,21.00199,10.200.52.16,18.64.141.129,TCP,66,[]
13816,140.919517,10.200.52.16,18.64.141.129,TCP,54,[]
20256,221.059338,10.200.52.16,18.64.141.129,TCP,54,[]
1973,20.763336,10.200.52.16,18.64.141.129,TCP,54,[]
1571,10.80713,10.200.52.16,18.64.141.129,TCP,90,[]
2282,20.922298,18.64.141.129,10.200.52.16,TCP,1494,[]
20174,221.028416,18.64.141.129,10.200.52.16,TCP,1494,[]
2022,20.767423,18.64.141.129,10.200.52.16,TCP,1494,[]
7101,60.894087,18.64.141.129,10.200.52.16,TCP,1494,[]
14751,150.956132,10.200.52.16,18.64.141.129,TCP,90,[]
19045,210.860117,10.200.52.16,18.64.141.129,TCP,54,[]
2557,21.063885,18.64.141.129,10.200.52.16,TCP,85,[]
16840,181.101501,18.64.141.129,10.200.52.16,TCP,1494,[]
6689,60.430679,10.200.52.16,18.64.141.129,TCP,54,[]
3345,31.041961,10.200.52.16,18.64.141.129,TCP,54,[]
903,10.327178,18.64.141.129,10.200.52.16,TCP,1494,[]
7752,70.939925,18.64.141.129,10.200.52.16,TCP,1494,[]
182,0.550967,10.200.52.16,18.64.141.129,TCP,54,[]
10023,101.01252,18.64.141.129,10.200.52.16,TCP,1494,[]
5195,49.445695,104.18.2.161,10.200.52.16,UDP,1242,[]
1854,20.609348,10.200.52.16,18.64.141.129,TCP,66,[]
18110,200.379378,18.64.141.129,10.200.52.16,TCP,348,[]
11248,110.947893,18.64.141.129,10.200.52.16,TCP,1494,[]
12605,131.089689,10.200.52.16,8.8.4.4,TCP,54,[]
15556,160.961476,18.64.141.129,10.200.52.16,TCP,1494,[]
1459,10.799111,10.200.52.16,18.64.141.129,TCP,66,[]
16798,181.023633,18.64.141.129,10.200.52.16,TCP,1494,[]
14799,151.003473,10.200.52.16,18.64.141.129,TCP,54,[]
5916,51.048492,10.200.52.16,18.64.141.129,TCP,54,[]
15638,160.969603,18.64.141.129,10.200.52.16,TCP,1494,[]
1927,20.759911,10.200.52.16,18.64.141.129,TCP,66,[]
5577,50.859515,18.64.141.129,10.200.52.16,TCP,1494,[]
9407,90.964316,10.200.52.16,18.64.141.129,TCP,54,[]
18613,201.650109,10.200.52.16,18.64.141.129,TCP,54,[]
3657,32.23252,142.250.181.46,10.200.52.16,UDP,670,[]
18296,200.997439,18.64.141.129,10.200.52.16,TCP,1494,[]
6545,54.313256,104.18.2.161,10.200.52.16,UDP,1227,[]
7827,70.961576,18.64.141.129,10.200.52.16,TCP,1494,[]
6166,51.562734,8.8.4.4,10.200.52.16,TCP,60,[]
12448,130.929232,18.64.141.129,10.200.52.16,TCP,1494,[]
14626,150.942348,18.64.141.129,10.200.52.16,TCP,1494,[]
5519,50.827124,18.64.141.129,10.200.52.16,TCP,1494,[]
7579,70.789974,10.200.52.16,18.64.141.129,TCP,54,[]
17970,191.947323,18.64.141.129,10.200.52.16,TCP,1494,[]
12496,131.047003,10.200.52.16,18.64.141.129,TCP,54,[]
11458,114.59343,172.217.21.37,10.200.52.16,TLSv1.2,1466,[]
9721,94.433354,10.200.52.16,172.217.17.46,UDP,465,[]
8679,81.194808,18.64.141.129,10.200.52.16,TCP,1494,[]
9391,90.961542,10.200.52.16,18.64.141.129,TCP,54,[]
8088,74.018343,Cisco_07:9d:d9,Spanning-tree-(for-bridges)_00,STP,64,[]
17075,181.17935,10.200.52.16,18.64.141.129,TCP,90,[]
4000,40.956592,18.64.141.129,10.200.52.16,TCP,1494,[]
20111,221.006508,18.64.141.129,10.200.52.16,TCP,1494,[]
19280,211.038778,18.64.141.129,10.200.52.16,TCP,1494,[]
2087,20.880128,10.200.52.16,18.64.141.129,TCP,54,[]
12481,131.044342,10.200.52.16,18.64.141.129,TCP,54,[]
7277,61.023114,18.64.141.129,10.200.52.16,TCP,1494,[]
2590,21.157061,10.200.52.16,172.217.17.46,UDP,1292,[]
15144,160.788209,18.64.141.129,10.200.52.16,TCP,1494,[]
18140,200.578122,18.64.141.129,10.200.52.16,TCP,1494,[]
15362,160.938786,18.64.141.129,10.200.52.16,TCP,1494,[]
16786,181.022003,18.64.141.129,10.200.52.16,TCP,1494,[]
12277,126.689401,35.241.24.90,10.200.52.16,TCP,66,[]
18863,210.389912,10.200.52.16,18.64.141.129,TCP,54,[]
15684,161.083344,18.64.141.129,10.200.52.16,TCP,85,[]
12107,120.967076,10.200.52.16,18.64.141.129,TCP,66,[]
13189,136.351473,10.200.52.16,172.217.17.46,UDP,75,[]
20045,220.978946,18.64.141.129,10.200.52.16,TCP,1494,[]
885,10.325915,18.64.141.129,10.200.52.16,TCP,1494,[]
1040,10.484501,18.64.141.129,10.200.52.16,TCP,1494,[]
14883,154.715762,172.217.17.46,10.200.52.16,UDP,67,[]
4937,46.520889,104.18.2.161,10.200.52.16,UDP,989,[]
2446,21.002208,18.64.141.129,10.200.52.16,TCP,620,[]
8958,88.529141,10.200.52.16,172.217.19.202,UDP,71,[]
7286,61.059288,18.64.141.129,10.200.52.16,TCP,1494,[]
16593,180.859327,10.200.52.16,18.64.141.129,TCP,54,[]
14905,154.774856,8.8.8.8,10.200.52.16,TCP,60,[]
15770,170.42015,18.64.141.129,10.200.52.16,TCP,1494,[]
2096,20.881232,18.64.141.129,10.200.52.16,TCP,1494,[]
3858,40.598862,18.64.141.129,10.200.52.16,TCP,1494,[]
18630,201.672537,18.64.141.129,10.200.52.16,TCP,1494,[]
13223,137.05941,192.249.116.249,10.200.52.16,TLSv1.2,88,[]
3478,31.058121,18.64.141.129,10.200.52.16,TCP,1494,[]
1011,10.482397,10.200.52.16,18.64.141.129,TCP,54,[]
9398,90.962643,10.200.52.16,18.64.141.129,TCP,54,[]
19250,211.023067,10.200.52.16,18.64.141.129,TCP,54,[]
17212,181.22679,18.64.141.129,10.200.52.16,TCP,1494,[]
17001,181.173426,10.200.52.16,18.64.141.129,TCP,90,[]
8424,81.027757,10.200.52.16,18.64.141.129,TCP,54,[]
8252,80.715998,18.64.141.129,10.200.52.16,TCP,1494,[]
935,10.476443,18.64.141.129,10.200.52.16,TCP,1494,[]
9052,90.646564,18.64.141.129,10.200.52.16,TCP,1494,[]
11490,120.313262,10.200.52.16,13.107.42.14,TLSv1.2,96,[]
18709,201.764704,10.200.52.16,18.64.141.129,TCP,54,[]
1344,10.788329,10.200.52.16,18.64.141.129,TCP,66,[]
5269,49.875125,10.200.52.16,104.18.2.161,UDP,88,[]
360,0.699699,18.64.141.129,10.200.52.16,TCP,1494,[]
13359,140.59862,18.64.141.129,10.200.52.16,TCP,1494,[]
19046,210.862018,18.64.141.129,10.200.52.16,TCP,1494,[]
960,10.478448,10.200.52.16,18.64.141.129,TCP,66,[]
19643,213.310236,10.200.52.16,172.217.17.46,UDP,78,[]
1149,10.637094,18.64.141.129,10.200.52.16,TCP,1494,[]
2955,30.586077,18.64.141.129,10.200.52.16,TCP,1494,[]
2052,20.770007,18.64.141.129,10.200.52.16,TCP,1494,[]
2055,20.770276,18.64.141.129,10.200.52.16,TCP,1494,[]
5166,49.211238,10.200.52.16,104.18.2.161,UDP,88,[]
6931,60.762781,10.200.52.16,18.64.141.129,TCP,54,[]
5287,50.197093,10.200.52.16,104.18.2.161,UDP,87,[]
16359,170.897662,10.200.52.16,18.64.141.129,TCP,54,[]
18567,201.59541,18.64.141.129,10.200.52.16,TCP,1494,[]
9396,90.962528,10.200.52.16,18.64.141.129,TCP,66,[]
4825,45.35526,104.18.2.161,10.200.52.16,UDP,777,[]
13199,136.39311,172.217.21.37,10.200.52.16,TCP,310,[]
18780,201.826468,10.200.52.16,18.64.141.129,TCP,54,[]
13789,140.917037,18.64.141.129,10.200.52.16,TCP,1494,[]
16635,180.978332,18.64.141.129,10.200.52.16,TCP,1494,[]
5364,50.540837,18.64.141.129,10.200.52.16,TCP,1494,[]
5569,50.852587,18.64.141.129,10.200.52.16,TCP,1494,[]
15987,170.732232,18.64.141.129,10.200.52.16,TCP,1494,[]
17755,191.397503,10.200.52.16,18.64.141.129,TCP,54,[]
3609,31.066284,10.200.52.16,18.64.141.129,TCP,66,[]
9840,100.846588,10.200.52.16,18.64.141.129,TCP,54,[]
5200,49.453515,10.200.52.16,104.18.2.161,UDP,87,[]
19600,211.219667,18.64.141.129,10.200.52.16,TCP,1494,[]
16254,170.892092,10.200.52.16,18.64.141.129,TCP,66,[]
18553,201.572339,18.64.141.129,10.200.52.16,TCP,1494,[]
17743,191.360494,10.200.52.16,18.64.141.129,TCP,54,[]
10347,101.197219,18.64.141.129,10.200.52.16,TCP,1494,[]
19750,220.652446,18.64.141.129,10.200.52.16,TCP,1494,[]
11742,120.797981,18.64.141.129,10.200.52.16,TCP,1494,[]
18665,201.727904,18.64.141.129,10.200.52.16,TCP,1494,[]
13771,140.91515,18.64.141.129,10.200.52.16,TCP,1494,[]
12561,131.085278,18.64.141.129,10.200.52.16,TCP,1494,[]
6493,53.926677,10.200.52.16,104.18.2.161,UDP,87,[]
2395,20.931678,18.64.141.129,10.200.52.16,TCP,1494,[]
8047,71.024457,18.64.141.129,10.200.52.16,TCP,1494,[]
8524,81.114753,18.64.141.129,10.200.52.16,TCP,1494,[]
4875,46.059392,10.200.52.16,8.8.4.4,TCP,66,[]
13213,136.802922,172.217.17.46,10.200.52.16,UDP,89,[]
13432,140.608336,18.64.141.129,10.200.52.16,TCP,1494,[]
19303,211.048881,18.64.141.129,10.200.52.16,TCP,1494,[]
10680,110.468223,10.200.52.16,18.64.141.129,TCP,54,[]
10193,101.17821,18.64.141.129,10.200.52.16,TCP,1494,[]
14256,150.768384,10.200.52.16,18.64.141.129,TCP,54,[]
16284,170.892991,18.64.141.129,10.200.52.16,TCP,1494,[]
5816,51.008332,10.200.52.16,18.64.141.129,TCP,54,[]
3538,31.060114,18.64.141.129,10.200.52.16,TCP,1494,[]
14021,140.946343,18.64.141.129,10.200.52.16,TCP,1494,[]
18795,201.836917,18.64.141.129,10.200.52.16,TCP,1494,[]
2747,22.308965,13.107.6.158,10.200.52.16,TCP,60,[]
103,0.404718,10.200.52.16,18.64.141.129,TCP,66,[]
19008,210.835551,10.200.52.16,18.64.141.129,TCP,66,[]
1662,11.901078,10.200.52.16,172.217.19.170,UDP,75,[]
12634,131.106813,8.8.4.4,10.200.52.16,DNS,139,[]
9050,90.646249,10.200.52.16,18.64.141.129,TCP,66,[]
10510,103.580845,8.8.4.4,10.200.52.16,DNS,229,[]
12805,131.225447,18.64.141.129,10.200.52.16,TCP,1494,[]
9427,90.967227,18.64.141.129,10.200.52.16,TCP,1494,[]
9399,90.962757,18.64.141.129,10.200.52.16,TCP,1494,[]
18560,201.582058,10.200.52.16,18.64.141.129,TCP,54,[]
1695,13.355681,172.217.19.173,10.200.52.16,UDP,854,[]
18494,201.453205,18.64.141.129,10.200.52.16,TCP,1494,[]
13103,131.351694,18.64.141.129,10.200.52.16,TCP,1494,[]
20140,221.019238,18.64.141.129,10.200.52.16,TCP,1494,[]
519,0.719763,10.200.52.16,18.64.141.129,TCP,74,[]
16380,170.900614,10.200.52.16,18.64.141.129,TCP,54,[]
6936,60.764451,18.64.141.129,10.200.52.16,TCP,1494,[]
12063,120.962979,18.64.141.129,10.200.52.16,TCP,1494,[]
15484,160.953745,18.64.141.129,10.200.52.16,TCP,1494,[]
2359,20.928655,18.64.141.129,10.200.52.16,TCP,1494,[]
6353,52.729494,104.18.2.161,10.200.52.16,UDP,1242,[]
938,10.476572,10.200.52.16,18.64.141.129,TCP,54,[]
13589,140.765112,18.64.141.129,10.200.52.16,TCP,1494,[]
14802,151.004095,10.200.52.16,18.64.141.129,TCP,54,[]
17585,190.981616,18.64.141.129,10.200.52.16,TCP,1494,[]
2135,20.90518,10.200.52.16,20.207.199.231,TLSv1.2,96,[]
7733,70.934207,10.200.52.16,18.64.141.129,TCP,66,[]
7610,70.800384,18.64.141.129,10.200.52.16,TCP,1494,[]
13073,131.293192,10.200.52.16,18.64.141.129,TCP,54,[]
10075,101.119069,18.64.141.129,10.200.52.16,TCP,1494,[]
3120,30.742892,18.64.141.129,10.200.52.16,TCP,1494,[]
14314,150.775567,18.64.141.129,10.200.52.16,TCP,1494,[]
16516,180.558105,18.64.141.129,10.200.52.16,TCP,1494,[]
1211,10.642284,18.64.141.129,10.200.52.16,TCP,1494,[]
14621,150.941951,10.200.52.16,18.64.141.129,TCP,90,[]
1086,10.634938,18.64.141.129,10.200.52.16,TCP,1494,[]
20038,220.978946,18.64.141.129,10.200.52.16,TCP,1494,[]
9353,90.9542,10.200.52.16,18.64.141.129,TCP,54,[]
5715,50.962606,18.64.141.129,10.200.52.16,TCP,1494,[]
9594,90.994966,18.64.141.129,10.200.52.16,TCP,1494,[]
10731,110.619919,18.64.141.129,10.200.52.16,TCP,1494,[]
7898,70.982451,18.64.141.129,10.200.52.16,TCP,1494,[]
4654,41.827739,10.200.52.16,8.8.4.4,TCP,66,[]
10773,110.626579,18.64.141.129,10.200.52.16,TCP,1494,[]
19995,220.872656,18.64.141.129,10.200.52.16,TCP,1494,[]
3380,31.045631,18.64.141.129,10.200.52.16,TCP,1494,[]
1319,10.786348,10.200.52.16,18.64.141.129,TCP,54,[]
1770,20.304291,18.64.141.129,10.200.52.16,TCP,1494,[]
4374,41.578734,10.200.52.16,18.64.141.129,TCP,74,[]
9850,100.84832,10.200.52.16,18.64.141.129,TCP,54,[]
12500,131.047594,18.64.141.129,10.200.52.16,TCP,1494,[]
9699,93.25049,10.200.52.16,142.250.181.46,UDP,74,[]
3563,31.062188,10.200.52.16,18.64.141.129,TCP,54,[]
131,0.40773,18.64.141.129,10.200.52.16,TCP,1494,[]
19584,211.210631,18.64.141.129,10.200.52.16,TCP,1494,[]
17107,181.182163,10.200.52.16,18.64.141.129,TCP,90,[]
12640,131.10792,10.200.52.16,8.8.4.4,TCP,54,[]
6217,51.768142,10.200.52.16,104.18.2.161,UDP,87,[]
16886,181.158991,18.64.141.129,10.200.52.16,TCP,1494,[]
13751,140.913356,18.64.141.129,10.200.52.16,TCP,1494,[]
1826,20.607368,10.200.52.16,18.64.141.129,TCP,66,[]
12823,131.227571,10.200.52.16,18.64.141.129,TCP,66,[]
11551,120.488566,10.200.52.16,18.64.141.129,TCP,54,[]
15551,160.96122,18.64.141.129,10.200.52.16,TCP,1494,[]
13533,140.756757,10.200.52.16,18.64.141.129,TCP,54,[]
16125,170.887549,18.64.141.129,10.200.52.16,TCP,1494,[]
4497,41.675135,18.64.141.129,10.200.52.16,TCP,1494,[]
18908,210.554124,10.200.52.16,18.64.141.129,TCP,66,[]
4442,41.640256,10.200.52.16,18.64.141.129,TCP,66,[]
2217,20.91661,18.64.141.129,10.200.52.16,TCP,1494,[]
2996,30.589721,18.64.141.129,10.200.52.16,TCP,1494,[]
15765,170.420004,10.200.52.16,18.64.141.129,TCP,66,[]
7817,70.95731,18.64.141.129,10.200.52.16,TCP,1494,[]
4904,46.12741,10.200.52.16,104.18.2.161,UDP,87,[]
4506,41.68017,10.200.52.16,18.64.141.129,TCP,66,[]
17039,181.175968,10.200.52.16,18.64.141.129,TCP,90,[]
9392,90.961771,18.64.141.129,10.200.52.16,TCP,1494,[]
5538,50.836799,18.64.141.129,10.200.52.16,TCP,1494,[]
7704,70.829939,18.64.141.129,10.200.52.16,TCP,1494,[]
3941,40.900976,18.64.141.129,10.200.52.16,TCP,1494,[]
12644,131.126776,8.8.4.4,10.200.52.16,TCP,60,[]
10046,101.114033,18.64.141.129,10.200.52.16,TCP,1494,[]
5228,49.689188,10.200.52.16,104.18.2.161,UDP,88,[]
14529,150.931424,18.64.141.129,10.200.52.16,TCP,1494,[]
13643,140.772668,18.64.141.129,10.200.52.16,TCP,1494,[]
3224,30.751947,10.200.52.16,18.64.141.129,TCP,54,[]
19452,211.128548,18.64.141.129,10.200.52.16,TCP,1494,[]
7224,60.925586,10.200.52.16,18.64.141.129,TCP,54,[]
14570,150.935103,10.200.52.16,18.64.141.129,TCP,82,[]
450,0.712105,18.64.141.129,10.200.52.16,TCP,1494,[]
2265,20.920615,18.64.141.129,10.200.52.16,TCP,1494,[]
10485,101.295268,18.64.141.129,10.200.52.16,TCP,1494,[]
11915,120.946696,18.64.141.129,10.200.52.16,TCP,1494,[]
19787,220.676146,10.200.52.16,18.64.141.129,TCP,54,[]
18660,201.727904,18.64.141.129,10.200.52.16,TCP,1494,[]
15824,170.570206,10.200.52.16,18.64.141.129,TCP,66,[]
6329,52.493891,104.18.2.161,10.200.52.16,UDP,892,[]
536,0.721467,18.64.141.129,10.200.52.16,TCP,1494,[]
12224,120.981591,18.64.141.129,10.200.52.16,TCP,1494,[]
9296,90.943184,10.200.52.16,18.64.141.129,TCP,54,[]
1837,20.608783,18.64.141.129,10.200.52.16,TCP,1494,[]
14654,150.946979,18.64.141.129,10.200.52.16,TCP,1494,[]
8239,80.567415,18.64.141.129,10.200.52.16,TCP,1494,[]
16385,170.901084,18.64.141.129,10.200.52.16,TCP,1494,[]
14353,150.781713,18.64.141.129,10.200.52.16,TCP,1494,[]
18011,192.039816,10.200.52.16,18.64.141.129,TCP,54,[]
1891,20.613059,18.64.141.129,10.200.52.16,TCP,1494,[]
6254,51.975568,172.217.19.202,10.200.52.16,UDP,68,[]
8740,81.210504,18.64.141.129,10.200.52.16,TCP,1494,[]
1689,13.223326,10.200.52.16,8.8.8.8,TCP,54,[]
13065,131.292575,18.64.141.129,10.200.52.16,TCP,1494,[]
12574,131.085398,10.200.52.16,18.64.141.129,TCP,90,[]
14575,150.937054,18.64.141.129,10.200.52.16,TCP,1494,[]
11265,110.950648,18.64.141.129,10.200.52.16,TCP,1494,[]
2450,21.002522,10.200.52.16,18.64.141.129,TCP,66,[]
15822,170.570049,10.200.52.16,18.64.141.129,TCP,66,[]
12591,131.086166,18.64.141.129,10.200.52.16,TCP,1494,[]
4611,41.751643,18.64.141.129,10.200.52.16,TCP,1494,[]
455,0.712749,10.200.52.16,18.64.141.129,TCP,66,[]
18193,200.750115,18.64.141.129,10.200.52.16,TCP,1494,[]
18593,201.630395,18.64.141.129,10.200.52.16,TCP,1494,[]
14873,154.429575,172.217.17.46,10.200.52.16,UDP,76,[]
3853,40.596958,18.64.141.129,10.200.52.16,TCP,1494,[]
183,0.55105,18.64.141.129,10.200.52.16,TCP,1494,[]
12673,131.165863,10.200.52.16,18.64.141.129,TCP,66,[]
5712,50.961062,18.64.141.129,10.200.52.16,TCP,1494,[]
5427,50.6867,10.200.52.16,18.64.141.129,TCP,54,[]
11019,110.919471,18.64.141.129,10.200.52.16,TCP,1494,[]
19841,220.799343,10.200.52.16,18.64.141.129,TCP,54,[]
100,0.404526,18.64.141.129,10.200.52.16,TCP,1494,[]
14354,150.781713,18.64.141.129,10.200.52.16,TCP,1494,[]
11925,120.947499,18.64.141.129,10.200.52.16,TCP,1494,[]
15772,170.42015,18.64.141.129,10.200.52.16,TCP,1494,[]
10676,110.468036,18.64.141.129,10.200.52.16,TCP,1494,[]
2765,23.026761,20.207.199.231,10.200.52.16,TLSv1.2,96,[]
834,5.710985,172.217.19.170,10.200.52.16,UDP,68,[]
1708,13.55544,172.217.19.173,10.200.52.16,UDP,1288,[]
255,0.55732,18.64.141.129,10.200.52.16,TCP,1494,[]
18528,201.526494,18.64.141.129,10.200.52.16,TCP,1494,[]
17620,191.055423,10.200.52.16,18.64.141.129,TCP,54,[]
1303,10.785383,18.64.141.129,10.200.52.16,TCP,1494,[]
13752,140.913356,18.64.141.129,10.200.52.16,TCP,1494,[]
19937,220.849611,18.64.141.129,10.200.52.16,TCP,1494,[]
17456,190.732928,18.64.141.129,10.200.52.16,TCP,1494,[]
20215,221.041658,10.200.52.16,18.64.141.129,TCP,54,[]
4606,41.747213,18.64.141.129,10.200.52.16,TCP,1494,[]
3931,40.89945,18.64.141.129,10.200.52.16,TCP,1494,[]
13209,136.797303,192.249.116.249,10.200.52.16,TCP,60,[]
934,10.476336,18.64.141.129,10.200.52.16,TCP,1494,[]
4529,41.702226,10.200.52.16,18.64.141.129,TCP,54,[]
18388,201.246869,18.64.141.129,10.200.52.16,TCP,1494,[]
8133,76.203021,10.200.52.16,142.250.181.46,UDP,1292,[]
4591,41.732087,10.200.52.16,172.64.131.9,TCP,54,[]
8705,81.201181,10.200.52.16,18.64.141.129,TCP,54,[]
2010,20.766458,10.200.52.16,18.64.141.129,TCP,66,[]
16805,181.02404,18.64.141.129,10.200.52.16,TCP,1494,[]
6533,54.241139,104.18.2.161,10.200.52.16,UDP,1242,[]
2875,30.287595,10.200.52.16,18.64.141.129,TCP,54,[]
12563,131.085278,18.64.141.129,10.200.52.16,TCP,1494,[]
1038,10.484394,18.64.141.129,10.200.52.16,TCP,1248,[]
2705,21.598328,172.217.19.170,10.200.52.16,UDP,67,[]
19858,220.809613,18.64.141.129,10.200.52.16,TCP,1494,[]
12105,120.966754,10.200.52.16,18.64.141.129,TCP,66,[]
10651,110.464253,18.64.141.129,10.200.52.16,TCP,1494,[]
16458,172.015452,Cisco_07:9d:d9,Spanning-tree-(for-bridges)_00,STP,64,[]
15843,170.572477,18.64.141.129,10.200.52.16,TCP,1494,[]
6386,53.056189,10.200.52.16,104.18.2.161,UDP,86,[]
12360,130.745939,18.64.141.129,10.200.52.16,TCP,1494,[]
12275,126.016795,Cisco_07:9d:d9,Spanning-tree-(for-bridges)_00,STP,64,[]
15493,160.955024,10.200.52.16,18.64.141.129,TCP,54,[]
10263,101.188427,10.200.52.16,18.64.141.129,TCP,54,[]
9244,90.818624,18.64.141.129,10.200.52.16,TCP,1494,[]
11076,110.927015,18.64.141.129,10.200.52.16,TCP,1494,[]
15605,160.965168,10.200.52.16,18.64.141.129,TCP,54,[]
14573,150.936912,18.64.141.129,10.200.52.16,TCP,1494,[]
11984,120.9551,18.64.141.129,10.200.52.16,TCP,1494,[]
8269,80.720173,10.200.52.16,18.64.141.129,TCP,54,[]
1541,10.805125,10.200.52.16,18.64.141.129,TCP,90,[]
10501,103.555841,10.200.52.16,8.8.4.4,TCP,54,[]
2698,21.579828,10.200.52.16,172.217.19.170,UDP,1292,[]
2287,20.922685,18.64.141.129,10.200.52.16,TCP,1494,[]
7882,70.978377,10.200.52.16,18.64.141.129,TCP,54,[]
12510,131.050316,18.64.141.129,10.200.52.16,TCP,1494,[]
8688,81.197254,18.64.141.129,10.200.52.16,TCP,1494,[]
14284,150.772253,10.200.52.16,18.64.141.129,TCP,54,[]
15683,161.083344,18.64.141.129,10.200.52.16,TCP,1275,[]
17841,191.630505,10.200.52.16,18.64.141.129,TCP,54,[]
8391,81.018683,18.64.141.129,10.200.52.16,TCP,1494,[]
9101,90.658666,18.64.141.129,10.200.52.16,TCP,1494,[]
15879,170.575775,18.64.141.129,10.200.52.16,TCP,1494,[]
20067,220.979133,18.64.141.129,10.200.52.16,TCP,1494,[]
