No.,Time,Source,Destination,Protocol,Length,URLs
1231,10.778619,10.200.52.16,18.64.141.129,TCP,66,[]
15797,170.567898,10.200.52.16,18.64.141.129,TCP,66,[]
7958,71.000336,10.200.52.16,18.64.141.129,TCP,54,[]
20307,221.076274,10.200.52.16,18.64.141.129,TCP,54,[]
18255,200.897737,18.64.141.129,10.200.52.16,TCP,1494,[]
18472,201.398472,Cisco_4e:62:09,CDP/VTP/DTP/PAgP/UDLD,DTP,90,[]
4252,41.45718,18.64.141.129,10.200.52.16,TCP,1494,[]
15021,160.634086,10.200.52.16,18.64.141.129,TCP,66,[]
13441,140.746431,18.64.141.129,10.200.52.16,TCP,1494,[]
12227,120.981735,10.200.52.16,18.64.141.129,TCP,54,[]
4335,41.5418,18.64.141.129,10.200.52.16,TCP,1494,[]
10745,110.622545,18.64.141.129,10.200.52.16,TCP,1494,[]
19921,220.841175,18.64.141.129,10.200.52.16,TCP,1494,[]
13681,140.902957,18.64.141.129,10.200.52.16,TCP,1494,[]
7486,70.634659,10.200.52.16,18.64.141.129,TCP,54,[]
12946,131.241396,18.64.141.129,10.200.52.16,TCP,1494,[]
4887,46.076818,10.200.52.16,104.18.2.161,UDP,86,[]
858,10.175153,18.64.141.129,10.200.52.16,TCP,1494,[]
6540,54.288988,10.200.52.16,104.18.2.161,UDP,88,[]
16875,181.131167,10.200.52.16,18.64.141.129,TCP,54,[]
12683,131.166783,10.200.52.16,18.64.141.129,TCP,66,[]
10540,103.670507,204.79.197.200,10.200.52.16,TCP,396,[]
8842,81.23996,18.64.141.129,10.200.52.16,TCP,1494,[]
6860,60.741956,18.64.141.129,10.200.52.16,TCP,1494,[]
10974,110.913426,18.64.141.129,10.200.52.16,TCP,1494,[]
16916,181.162094,10.200.52.16,18.64.141.129,TCP,54,[]
10626,110.149534,172.217.17.46,10.200.52.16,UDP,66,[]
955,10.47786,10.200.52.16,18.64.141.129,TCP,54,[]
7405,70.476601,18.64.141.129,10.200.52.16,TCP,1494,[]
5945,51.060914,18.64.141.129,10.200.52.16,TCP,1494,[]
54,0.255197,18.64.141.129,10.200.52.16,TCP,1494,[]
6411,53.253052,104.18.2.161,10.200.52.16,UDP,1022,[]
3517,31.058911,18.64.141.129,10.200.52.16,TCP,1494,[]
11749,120.799303,10.200.52.16,18.64.141.129,TCP,66,[]
490,0.716758,18.64.141.129,10.200.52.16,TCP,1494,[]
13146,135.312129,13.107.42.14,10.200.52.16,TLSv1.2,100,[]
15936,170.722373,10.200.52.16,18.64.141.129,TCP,54,[]
18430,201.328474,18.64.141.129,10.200.52.16,TCP,1494,[]
20056,220.979086,18.64.141.129,10.200.52.16,TCP,1494,[]
17404,190.629477,18.64.141.129,10.200.52.16,TCP,1494,[]
11706,120.793302,18.64.141.129,10.200.52.16,TCP,1494,[]
2973,30.587935,18.64.141.129,10.200.52.16,TCP,1494,[]
18871,210.394071,18.64.141.129,10.200.52.16,TCP,1494,[]
2943,30.530766,20.207.199.231,10.200.52.16,TLSv1.2,96,[]
3164,30.74652,10.200.52.16,18.64.141.129,TCP,54,[]
2619,21.364057,172.217.19.170,10.200.52.16,UDP,112,[]
8236,80.566159,18.64.141.129,10.200.52.16,TCP,1494,[]
11619,120.642625,18.64.141.129,10.200.52.16,TCP,1494,[]
11764,120.80123,10.200.52.16,18.64.141.129,TCP,66,[]
11578,120.638154,18.64.141.129,10.200.52.16,TCP,1494,[]
2855,29.757129,10.200.52.16,13.107.6.158,TLSv1.2,159,[]
3440,31.050512,18.64.141.129,10.200.52.16,TCP,1494,[]
1893,20.613181,10.200.52.16,18.64.141.129,TCP,54,[]
19753,220.654677,18.64.141.129,10.200.52.16,TCP,1494,[]
15769,170.42015,18.64.141.129,10.200.52.16,TCP,1494,[]
13007,131.287129,18.64.141.129,10.200.52.16,TCP,1494,[]
11768,120.801487,10.200.52.16,18.64.141.129,TCP,54,[]
671,0.731876,10.200.52.16,18.64.141.129,TCP,66,[]
19853,220.805783,10.200.52.16,18.64.141.129,TCP,54,[]
15241,160.799888,18.64.141.129,10.200.52.16,TCP,1494,[]
14897,154.759475,8.8.8.8,10.200.52.16,TCP,60,[]
9472,90.974141,10.200.52.16,18.64.141.129,TCP,54,[]
17837,191.62315,18.64.141.129,10.200.52.16,TCP,1494,[]
898,10.326623,18.64.141.129,10.200.52.16,TCP,1494,[]
3307,31.0386,10.200.52.16,18.64.141.129,TCP,66,[]
8027,71.018623,10.200.52.16,18.64.141.129,TCP,54,[]
10859,110.77341,18.64.141.129,10.200.52.16,TCP,1494,[]
2891,30.431723,10.200.52.16,20.207.199.231,TLSv1.2,131,[]
14395,150.883381,18.64.141.129,10.200.52.16,TCP,1494,[]
17151,181.193519,10.200.52.16,18.64.141.129,TCP,54,[]
8398,81.020799,10.200.52.16,18.64.141.129,TCP,66,[]
14006,140.944788,10.200.52.16,18.64.141.129,TCP,54,[]
16387,170.901737,10.200.52.16,18.64.141.129,TCP,66,[]
14163,150.616871,18.64.141.129,10.200.52.16,TCP,1494,[]
11997,120.956388,18.64.141.129,10.200.52.16,TCP,1494,[]
635,0.729076,10.200.52.16,18.64.141.129,TCP,54,[]
12509,131.050316,18.64.141.129,10.200.52.16,TCP,1494,[]
19004,210.835478,18.64.141.129,10.200.52.16,TCP,1494,[]
6477,53.583165,10.200.52.16,104.18.2.161,UDP,88,[]
15170,160.791615,18.64.141.129,10.200.52.16,TCP,1494,[]
4178,41.339679,18.64.141.129,10.200.52.16,TCP,1494,[]
18844,204.0149,Cisco_07:9d:d9,Spanning-tree-(for-bridges)_00,STP,64,[]
20121,221.010964,10.200.52.16,18.64.141.129,TCP,54,[]
11065,110.925925,10.200.52.16,18.64.141.129,TCP,54,[]
10532,103.639387,10.200.52.16,204.79.197.200,TCP,66,[]
5992,51.074626,18.64.141.129,10.200.52.16,TCP,1494,[]
17040,181.176083,18.64.141.129,10.200.52.16,TCP,1494,[]
2582,21.104261,10.200.52.16,172.217.17.46,UDP,1096,[]
18691,201.74727,10.200.52.16,18.64.141.129,TCP,66,[]
12000,120.956556,18.64.141.129,10.200.52.16,TCP,1494,[]
8386,81.017305,10.200.52.16,18.64.141.129,TCP,54,[]
10675,110.468036,18.64.141.129,10.200.52.16,TCP,1494,[]
9448,90.970389,18.64.141.129,10.200.52.16,TCP,1494,[]
2105,20.882078,18.64.141.129,10.200.52.16,TCP,1494,[]
19726,220.530463,10.200.52.16,18.64.141.129,TCP,90,[]
17594,190.996113,10.200.52.16,18.64.141.129,TCP,54,[]
3765,37.081084,10.200.52.16,8.8.4.4,DNS,128,[]
4235,41.435526,10.200.52.16,18.64.141.129,TCP,54,[]
4995,47.219301,10.200.52.16,172.217.19.170,UDP,71,[]
5058,47.942348,104.18.2.161,10.200.52.16,UDP,96,[]
4435,41.63319,18.64.141.129,10.200.52.16,TCP,1494,[]
11677,120.789555,10.200.52.16,18.64.141.129,TCP,66,[]
718,0.736113,18.64.141.129,10.200.52.16,TCP,1494,[]
3817,38.007197,10.200.52.16,104.225.98.129,TCP,54,[]
6774,60.597548,18.64.141.129,10.200.52.16,TCP,1494,[]
11187,110.941722,18.64.141.129,10.200.52.16,TCP,1494,[]
10739,110.62184,18.64.141.129,10.200.52.16,TCP,1494,[]
14672,150.948242,18.64.141.129,10.200.52.16,TCP,1494,[]
9814,100.843265,18.64.141.129,10.200.52.16,TCP,1494,[]
19852,220.805692,18.64.141.129,10.200.52.16,TCP,1494,[]
9289,90.827475,18.64.141.129,10.200.52.16,TCP,1494,[]
6812,60.72507,18.64.141.129,10.200.52.16,TCP,1494,[]
3894,40.748612,10.200.52.16,18.64.141.129,TCP,90,[]
