Info
443  >  62984 [ACK] Seq=12635638 Ack=12171 Win=555 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=3802754 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=13449 Ack=13968571 Win=4162 Len=0 SLE=14029051 SRE=14034811 SLE=14026171 SRE=14027611 SLE=14023291 SRE=14024731 SLE=14018971 SRE=14020411
443  >  58506 Len=237
443  >  62984 [ACK] Seq=11726522 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=11675556 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=11532 Ack=11633429 Win=4162 Len=0 SLE=11636309 SRE=11637749
[TCP Dup ACK 3787#1] 63643  >  443 [ACK] Seq=518 Ack=1 Win=131328 Len=0 SLE=1461 SRE=2921
"443  >  62984 [PSH, ACK] Seq=9898602 Ack=9617 Win=545 Len=1312 [TCP segment of a reassembled PDU]"
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=997159 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 5682#1] 62984  >  443 [ACK] Seq=3230 Ack=3515560 Win=4162 Len=0 SLE=3517000 SRE=3517413
62984  >  443 [ACK] Seq=10893 Ack=11188311 Win=4162 Len=0 SLE=11189751 SRE=11191191
443  >  59152 Len=77
"443  >  62984 [PSH, ACK] Seq=13536462 Ack=13449 Win=559 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=6423 Ack=6705630 Win=4162 Len=0 SLE=6708510 SRE=6709950
"443  >  62984 [PSH, ACK] Seq=14700707 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]"
"443  >  62984 [PSH, ACK] Seq=14208489 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=7515734 Ack=7062 Win=536 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=9617 Ack=10258341 Win=4162 Len=0
443  >  62984 [ACK] Seq=169652 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=2500518 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=6041275 Ack=5784 Win=531 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=1314 Ack=1833260 Win=4162 Len=0 SLE=1834700 SRE=1836140
62984  >  443 [ACK] Seq=8979 Ack=9422761 Win=4162 Len=0
62984  >  443 [ACK] Seq=14088 Ack=14638787 Win=4162 Len=0
62984  >  443 [ACK] Seq=1314 Ack=1448807 Win=4162 Len=0
[TCP Dup ACK 1453#59] 62984  >  443 [ACK] Seq=675 Ack=1136839 Win=4162 Len=0 SLE=1214599 SRE=1233319 SLE=1236199 SRE=1237639 SLE=1190119 SRE=1213159 SLE=1180039 SRE=1188679
443  >  62984 [ACK] Seq=1702500 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=14565347 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]"
"443  >  62984 [PSH, ACK] Seq=1493447 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=4251367 Ack=3868 Win=524 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 14516#118] 62984  >  443 [ACK] Seq=9617 Ack=9995281 Win=4162 Len=0 SLE=10073041 SRE=10182481 SLE=10067281 SRE=10068721 SLE=10012561 SRE=10065841 SLE=9999601 SRE=10008241
62984  >  443 [ACK] Seq=13449 Ack=13619541 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=1920231 Ack=1314 Win=515 Len=31 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=11806690 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=3868 Ack=3882087 Win=4162 Len=0
62984  >  443 [ACK] Seq=1953 Ack=2311878 Win=4162 Len=0
443  >  62984 [ACK] Seq=671724 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=4835316 Ack=4506 Win=526 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=36 Ack=137406 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=6647635 Ack=6423 Win=534 Len=1440 [TCP segment of a reassembled PDU]
443  >  49926 Len=1200
[TCP Dup ACK 1850#2] 62984  >  443 [ACK] Seq=1314 Ack=1358568 Win=4162 Len=0 SLE=1360008 SRE=1362888
"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=12816789 Ack=12775 Win=557 Len=294 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=7560374 Ack=7062 Win=536 Len=1440 [TCP segment of a reassembled PDU]
63661  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=10788710 Ack=10255 Win=548 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 1453#3] 62984  >  443 [ACK] Seq=675 Ack=1136839 Win=4162 Len=0 SLE=1138279 SRE=1142599
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=11775461 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=9617 Ack=10203272 Win=4162 Len=0
62984  >  443 [ACK] Seq=3230 Ack=3724994 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=10853510 Ack=10255 Win=548 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 1925#1] 62984  >  443 [ACK] Seq=1314 Ack=1413473 Win=4162 Len=0 SLE=1417793 SRE=1418359
"443  >  62984 [PSH, ACK] Seq=3423400 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=5784 Ack=6162493 Win=4162 Len=0
62984  >  443 [ACK] Seq=12810 Ack=13240841 Win=4162 Len=0
443  >  64020 Len=628
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=12981641 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]
443  >  49926 Len=1185
"443  >  62984 [PSH, ACK] Seq=4904436 Ack=4506 Win=526 Len=1440 [TCP segment of a reassembled PDU]"
53  >  63655 [ACK] Seq=1 Ack=3 Win=65536 Len=0
443  >  62984 [ACK] Seq=8439199 Ack=8340 Win=541 Len=1440 [TCP segment of a reassembled PDU]
"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=10093201 Ack=9617 Win=545 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=3368680 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=4506 Ack=4675165 Win=4162 Len=0
443  >  62984 [ACK] Seq=12726358 Ack=12171 Win=555 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=8340 Ack=8478494 Win=4162 Len=0
Application Data
58506  >  443 Len=423
"443  >  62984 [PSH, ACK] Seq=5543657 Ack=5145 Win=529 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=5784 Ack=6148093 Win=4162 Len=0
RST. Root = 32768/0/34:a8:4e:07:9d:d8  Cost = 0  Port = 0x8001
[TCP Dup ACK 16956#58] 62984  >  443 [ACK] Seq=11532 Ack=11898780 Win=4162 Len=0 SLE=11929020 SRE=12002460 SLE=11926140 SRE=11927580 SLE=11914620 SRE=11923260 SLE=11907420 SRE=11911740
[TCP Fast Retransmission] 443  >  62984 [ACK] Seq=2613825 Ack=2592 Win=519 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=14507747 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=13820251 Ack=13449 Win=559 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=1314 Ack=1543544 Win=4162 Len=0
62984  >  443 [ACK] Seq=8340 Ack=8464094 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=4418407 Ack=3868 Win=524 Len=1440 [TCP segment of a reassembled PDU]"
58506  >  443 Len=1250
443  >  62984 [ACK] Seq=10427780 Ack=10255 Win=548 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=12843003 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=10615910 Ack=10255 Win=548 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=11761082 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]"
[TCP Keep-Alive ACK] 443  >  63129 [ACK] Seq=1 Ack=2 Win=408 Len=0 SLE=1 SRE=2
62984  >  443 [ACK] Seq=13414 Ack=13454433 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=10892665 Ack=10255 Win=548 Len=31 [TCP segment of a reassembled PDU]"
[TCP Dup ACK 12105#1] 62984  >  443 [ACK] Seq=7701 Ack=8192378 Win=4162 Len=0 SLE=8193818 SRE=8196698
58506  >  443 Len=33
443  >  62984 [ACK] Seq=14442947 Ack=14088 Win=562 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=657324 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=774968 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
443  >  58506 Len=25
443  >  49926 Len=947
"443  >  62984 [PSH, ACK] Seq=1836140 Ack=1314 Win=515 Len=566 [TCP segment of a reassembled PDU]"
59152  >  443 Len=29
443  >  62984 [ACK] Seq=4425607 Ack=3868 Win=524 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=11532 Ack=11598303 Win=4162 Len=0
"53  >  63665 [FIN, ACK] Seq=202 Ack=43 Win=65536 Len=0"
443  >  62984 [ACK] Seq=10927046 Ack=10893 Win=550 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=1549870 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=2573143 Ack=2557 Win=519 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=13255241 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]"
Application Data
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=2440038 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=675 Ack=754808 Win=4162 Len=0
62984  >  443 [ACK] Seq=5784 Ack=6153853 Win=4162 Len=0
62984  >  443 [ACK] Seq=13449 Ack=13792891 Win=4162 Len=0
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=12098875 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 16956#23] 62984  >  443 [ACK] Seq=11532 Ack=11898780 Win=4162 Len=0 SLE=11929020 SRE=11946300 SLE=11926140 SRE=11927580 SLE=11914620 SRE=11923260 SLE=11907420 SRE=11911740
62984  >  443 [ACK] Seq=5145 Ack=5304010 Win=4162 Len=0
443  >  62984 [ACK] Seq=5145706 Ack=5145 Win=529 Len=1440 [TCP segment of a reassembled PDU]
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=697009 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=5835915 Ack=5784 Win=531 Len=1440 [TCP segment of a reassembled PDU]
Application Data
62984  >  443 [ACK] Seq=12810 Ack=13333001 Win=4162 Len=0
[TCP Dup ACK 1343#1] 62984  >  443 [ACK] Seq=675 Ack=1044679 Win=4162 Len=0 SLE=1047559 SRE=1048999
49926  >  443 Len=46
443  >  62984 [ACK] Seq=287424 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=9038402 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=13620981 Ack=13449 Win=559 Len=1440 [TCP segment of a reassembled PDU]"
